Username,Subscribe Date,Current Tier,Tenure,Streak,Sub Type,Founder
noobynoobaze,2026-08-19T18:46:42Z,Tier 1,2,1,gift,false
gutsberserker10,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
sirok1997,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
xenoff_,2026-09-04T18:24:00Z,Tier 1,1,1,gift,false
chefspirite,2026-08-10T19:32:47Z,Tier 1,2,1,gift,false
faruk0711,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
slottthy,2026-06-01T19:00:37Z,Tier 1,4,4,recurring,true
warpreds,2026-08-17T18:24:11Z,Tier 1,2,1,gift,false
bg4563,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
dehemi_,2026-08-17T18:24:11Z,Tier 1,1,1,gift,false
perdsilgagnepas,2026-08-10T19:34:09Z,Tier 1,1,1,gift,false
koalaalalalala,2026-06-21T11:12:05Z,Tier 1,3,3,recurring,false
ferreiraasamp,2026-08-19T18:46:43Z,Tier 1,1,1,gift,false
shanley_chan,2026-08-17T18:24:11Z,Tier 1,2,1,gift,false
hugolc33,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
divinodenix,2026-08-19T18:46:42Z,Tier 1,1,1,gift,false
lucaspcq13,2026-08-10T19:34:09Z,Tier 1,1,1,gift,false
johnrp_tv,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
titanstange,2026-08-10T19:34:09Z,Tier 1,1,1,gift,false
aquaah2o,2026-08-30T09:08:50Z,Tier 1,1,1,gift,false
khalamite_live,2026-08-10T19:36:12Z,Tier 1,2,2,gift,false
imkenzei,2026-08-17T16:55:21Z,Tier 1,1,1,gift,false
dyla2106,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
chatnoir1994,2026-09-04T18:01:35Z,Tier 1,2,1,gift,false
downlerc,2026-08-17T16:55:21Z,Tier 1,1,1,gift,false
ragnarok8561,2026-08-19T18:46:42Z,Tier 1,2,1,gift,false
ayen57,2026-07-24T22:12:49Z,Tier 1,4,4,recurring,false
jellgrum,2026-08-30T09:40:37Z,Tier 1,1,1,gift,false
jolinar_de_malkshur,2026-08-19T18:46:43Z,Tier 1,1,1,gift,false
zenoxyde,2026-08-30T15:35:06Z,Tier 1,1,1,gift,false
hiro_soft974,2026-08-11T23:15:58Z,Tier 1,1,1,gift,false
lechaaaaaat,2026-08-30T09:07:42Z,Tier 1,1,1,gift,false
nemesis952,2026-08-25T19:29:14Z,Tier 1,1,1,prime,false
rellws,2026-08-10T19:32:47Z,Tier 1,1,1,gift,false
shenco,2026-08-30T13:29:23Z,Tier 1,2,1,recurring,false
lockazhion,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
maori_2,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
xthefragile_,2026-08-30T09:08:49Z,Tier 1,1,1,gift,false
dreameuz28,2026-08-19T18:46:42Z,Tier 1,1,1,gift,false
